policy,epoch,threshold,query,service_ms,kernel_ms,hits,overflow,cpu_complete_match,process
all_delta,5,80,1,0.043435000000000001,0.0072320001199841499,1,0,1,0
all_delta,5,80,2,0.046782999999999998,0.0082240002229809761,1,0,1,0
all_delta,5,80,3,0.041666000000000002,0.0090560000389814377,1,0,1,0
all_delta,5,80,4,0.043562999999999998,0.011008000001311302,2,0,1,0
all_delta,5,80,5,0.043550999999999999,0.009344000369310379,1,0,1,0
all_delta,5,80,6,0.13683799999999999,0.028799999505281448,1,0,1,0
all_delta,5,80,7,0.044791999999999998,0.011296000331640244,1,0,1,0
all_delta,6,70,0,0.039542000000000001,0.0074240001849830151,1,0,1,0
all_delta,6,70,1,0.041265000000000003,0.0089279999956488609,1,0,1,0
all_delta,6,70,2,0.046195,0.011648000217974186,1,0,1,0
all_delta,6,70,3,0.043056999999999998,0.011392000131309032,1,0,1,0
all_delta,6,70,4,0.042778999999999998,0.011071999557316303,2,0,1,0
all_delta,6,70,5,0.040856999999999997,0.011168000288307667,1,0,1,0
all_delta,6,70,6,0.043129000000000001,0.011615999974310398,2,0,1,0
all_delta,6,70,7,0.043707000000000003,0.01158399973064661,7,0,1,0
all_delta,6,80,0,0.041959000000000003,0.0091519998386502266,1,0,1,0
all_delta,6,80,1,0.039187,0.0076799998059868813,1,0,1,0
all_delta,6,80,2,0.042022999999999998,0.0092479996383190155,1,0,1,0
all_delta,6,80,3,0.042608,0.010463999584317207,1,0,1,0
all_delta,6,80,4,0.044066000000000001,0.011327999643981457,2,0,1,0
all_delta,6,80,5,0.040936,0.0094720004126429558,1,0,1,0
all_delta,6,80,6,0.041549000000000003,0.0094079999253153801,1,0,1,0
all_delta,6,80,7,0.043609000000000002,0.012000000104308128,1,0,1,0
periodic2,0,70,0,0.055810999999999999,0.012736000120639801,1,0,1,0
periodic2,0,70,1,0.041890999999999998,0.010080000385642052,1,0,1,0
periodic2,0,70,2,0.039649999999999998,0.0087040001526474953,1,0,1,0
periodic2,0,70,3,0.040353,0.0087040001526474953,1,0,1,0
periodic2,0,70,4,0.040385999999999998,0.0094079999253153801,2,0,1,0
periodic2,0,70,5,0.040459000000000002,0.0092799998819828033,1,0,1,0
periodic2,0,70,6,0.042630000000000001,0.01104000024497509,2,0,1,0
periodic2,0,70,7,0.043177,0.010879999957978725,7,0,1,0
periodic2,0,80,0,0.037691000000000002,0.0065600001253187656,1,0,1,0
periodic2,0,80,1,0.037930999999999999,0.0071359998546540737,1,0,1,0
periodic2,0,80,2,0.040766999999999998,0.0088959997519850731,1,0,1,0
periodic2,0,80,3,0.040114999999999998,0.0091199995949864388,1,0,1,0
periodic2,0,80,4,0.040406999999999998,0.0086080003529787064,2,0,1,0
periodic2,0,80,5,0.040655999999999998,0.0093759996816515923,1,0,1,0
periodic2,0,80,6,0.039815000000000003,0.0087999999523162842,1,0,1,0
periodic2,0,80,7,0.042224999999999999,0.01119999960064888,1,0,1,0
periodic2,1,70,0,0.039146,0.0072320001199841499,1,0,1,0
periodic2,1,70,1,0.040654999999999997,0.009344000369310379,1,0,1,0
periodic2,1,70,2,0.040541000000000001,0.0093759996816515923,1,0,1,0
periodic2,1,70,3,0.034842999999999999,0.0081919999793171883,1,0,1,0
periodic2,1,70,4,0.042888999999999997,0.010784000158309937,2,0,1,0
periodic2,1,70,5,0.042167999999999997,0.011008000001311302,1,0,1,0
periodic2,1,70,6,0.042493999999999997,0.01119999960064888,2,0,1,0
periodic2,1,70,7,0.043008999999999999,0.011520000174641609,7,0,1,0
periodic2,1,80,0,0.036679999999999997,0.0072960001416504383,1,0,1,0
periodic2,1,80,1,0.042223999999999998,0.0098559996113181114,1,0,1,0
periodic2,1,80,2,0.049133999999999997,0.012992000207304955,1,0,1,0
periodic2,1,80,3,0.050674999999999998,0.018688000738620758,1,0,1,0
periodic2,1,80,4,0.040982999999999999,0.0096960002556443214,2,0,1,0
periodic2,1,80,5,0.043262000000000002,0.010975999757647514,1,0,1,0
periodic2,1,80,6,0.040315999999999998,0.0091199995949864388,1,0,1,0
periodic2,1,80,7,0.040797,0.009344000369310379,1,0,1,0
periodic2,2,70,0,0.044790000000000003,0.0091840000823140144,1,0,1,0
periodic2,2,70,1,0.037009,0.0087679997086524963,1,0,1,0
periodic2,2,70,2,0.041931999999999997,0.0096640000119805336,1,0,1,0
periodic2,2,70,3,0.043444000000000003,0.010975999757647514,1,0,1,0
periodic2,2,70,4,0.042591999999999998,0.010944000445306301,2,0,1,0
periodic2,2,70,5,0.043961,0.011807999573647976,1,0,1,0
periodic2,2,70,6,0.043368999999999998,0.011711999773979187,2,0,1,0
periodic2,2,70,7,0.043950000000000003,0.010688000358641148,7,0,1,0
periodic2,2,80,0,0.040640000000000003,0.0085760001093149185,1,0,1,0
periodic2,2,80,1,0.034076000000000002,0.0078400000929832458,1,0,1,0
periodic2,2,80,2,0.039888,0.0085439998656511307,1,0,1,0
periodic2,2,80,3,0.041606999999999998,0.0086719999089837074,1,0,1,0
