policy,epoch,threshold,query,rows,runs,service_ms,kernel_ms,candidate_rows,scan_fp_pc_bytes,tail_threads,active_slices,descriptor_bytes,hits,output_bytes,result_hash,cpu_complete_match,oracle_compare_ms,tracked_live_device_bytes,observed_hits,overflow,process,query_arrival_epoch
all_delta,2,70,6,1078191,3,0.051468,0.01283199992030859,703143,23906862,345,3,120,2,32,15785956641883730691,1,0.00031100000000000002,46335254,2,0,0,0
all_delta,2,70,7,1078191,3,0.048478,0.011008000001311302,739520,25143680,320,3,120,7,112,16255102669321986777,1,0.000417,46335254,7,0,0,0
all_delta,2,70,8,1078191,3,0.051758999999999999,0.013183999806642532,762094,25911196,530,3,120,1,16,15311275680455022801,1,0.00035599999999999998,46335254,1,0,0,0
all_delta,2,70,9,1078191,3,0.051572,0.01283199992030859,745401,25343634,327,3,120,1,16,15642014802567948599,1,0.00029999999999999997,46335254,1,0,0,0
all_delta,2,70,10,1078191,3,0.042667999999999998,0.01104000024497509,723577,24601618,391,3,120,1,16,11426800160656088415,1,0.00043399999999999998,46335254,1,0,0,0
all_delta,2,70,11,1078191,3,0.042805999999999997,0.01119999960064888,691683,23517222,541,3,120,1,16,110689257886196643,1,0.00023000000000000001,46335254,1,0,0,0
all_delta,2,70,12,1078191,3,0.043804999999999997,0.011264000087976456,652987,22201558,581,3,120,2,32,1140235132895068918,1,0.00030800000000000001,46335254,2,0,0,0
all_delta,2,70,13,1078191,3,0.042810000000000001,0.010335999540984631,586532,19942088,220,3,120,1,16,8144193273189773108,1,0.00025999999999999998,46335254,1,0,0,0
all_delta,2,70,14,1078191,3,0.043270000000000003,0.010912000201642513,487364,16570376,572,3,120,5,80,8712610575545161090,1,0.000437,46335254,5,0,0,0
all_delta,2,70,15,1078191,3,0.041539,0.0076480000279843807,328,11152,184,2,80,1,16,14114472362983462821,1,0.00029100000000000003,46335254,1,0,0,0
all_delta,2,70,16,1078191,3,0.034909999999999997,0.0066880001686513424,1541,52394,507,3,120,1,16,10573732391258072665,1,0.00029799999999999998,46335254,1,0,0,1
all_delta,2,70,17,1078191,3,0.034737999999999998,0.006624000146985054,34781,1182554,547,3,120,9,144,9709853802702287995,1,0.00036900000000000002,46335254,9,0,0,1
all_delta,2,70,18,1078191,3,0.045283999999999998,0.0097279995679855347,1541,52394,507,3,120,1,16,15898063525803574733,1,0.00026800000000000001,46335254,1,0,0,2
all_delta,2,70,19,1078191,3,0.042056999999999997,0.009503999724984169,580,19720,188,2,80,1,16,4815691392151912697,1,0.00027999999999999998,46335254,1,0,0,2
all_delta,2,70,20,1078191,3,0.029276,0.0073600001633167267,436,14824,76,1,40,0,0,1469598103934665603,1,0.00021900000000000001,46335254,0,0,0,3
all_delta,2,70,21,1078191,3,0.043890999999999999,0.0095680002123117447,52216,1775344,520,3,120,40,640,9303416941744276336,1,0.00036600000000000001,46335254,40,0,0,3
all_delta,2,70,22,1078191,3,0.029994,0.0071680000983178616,5618,191012,526,3,120,0,0,1469598103934665603,1,0.00030899999999999998,46335254,0,0,0,4
all_delta,2,70,23,1078191,3,0.029342,0.0063040000386536121,1204,40936,76,2,80,0,0,1469598103934665603,1,0.00027500000000000002,46335254,0,0,0,4
all_delta,2,70,24,1078191,3,0.031482000000000003,0.0088640004396438599,1541,52394,507,3,120,0,0,1469598103934665603,1,0.00034299999999999999,46335254,0,0,0,5
all_delta,2,70,25,1078191,3,0.029672,0.0073600001633167267,31715,1078310,285,3,120,0,0,1469598103934665603,1,0.00031199999999999999,46335254,0,0,0,5
all_delta,2,70,26,1078191,3,0.029600000000000001,0.0064639998599886894,436,14824,76,1,40,0,0,1469598103934665603,1,0.00033500000000000001,46335254,0,0,0,6
all_delta,2,70,27,1078191,3,0.034242000000000002,0.011520000174641609,653226,22209684,598,3,120,0,0,1469598103934665603,1,0.000339,46335254,0,0,0,6
