mode,policy,rotation,cap_mib,interval_ms,window_ms,start_ms,drain_finished_ms,scheduled_batches,completed_batches,dropped_batches,coverage_pass,cpu_complete_match,window_completed_batches,completion_fraction,window_queries_per_s,p99_response_ms,p50_response_ms,max_response_ms,p99_service_ms,mean_service_ms,p99_queue_ms,max_waiting_batches,max_maintenance_backlog,max_publication_lag_ms,max_maintenance_queue_ms,uploaded_bytes,merged_host_rw_bytes,merges,deferred,end_runs,peak_vram_bytes,host_maxrss_kib,case_name,technical_pass
shadow,periodic6,2,2048,0.54,8000,906.108265,8906.04575,14815,14815,0,True,True,14815,1.0,14815.0,0.870488,0.376495,6.813466,0.81359,0.324152585960177,0.331149,11,1,564.1594810000006,0.1312,466098318,863475732,1,0,1,2082340864,1037940,test_r2_cap2048_periodic6_shadow,True
static_base,all_delta,2,2048,0.54,8000,906.176118,8906.113621,14815,14815,0,True,True,14815,1.0,14815.0,0.870449,0.374905,7.240693,0.813641,0.3226442868039167,0.331038,12,0,0,0,0,0,0,0,1,2082340864,835668,test_r2_cap2048_static_base,True
static_final,all_delta,2,2048,0.54,8000,1328.105597,9328.052224,14815,14815,0,True,True,14815,1.0,14815.0,2.078036,0.451531,7.347949,0.936957,0.41489504522443543,1.538308,12,0,0,0,0,0,0,0,1,2082340864,1042244,test_r2_cap2048_static_final,True
growth,tier4,2,2048,0.54,8000,839.167538,8839.136821,14815,14815,0,True,True,14815,1.0,14815.0,0.990929,0.448696,6.868988,0.934071,0.3969044097198752,0.451413,11,1,41.713982999999644,0.0834130000003,70686882,72652860,4,0,3,2082340864,835704,test_r2_cap2048_tier4_growth,True
shadow,tier4,2,2048,0.54,8000,823.136012,8823.064744,14815,14815,0,True,True,14815,1.0,14815.0,0.870169999999,0.376520999999,7.061535,0.813615,0.3242148134998321,0.330873,12,1,38.91349500000024,0.0905750000002,70686882,72652860,4,0,3,2082340864,835640,test_r2_cap2048_tier4_shadow,True
growth,all_delta,3,1280,0.54,8000,939.706715,8939.684014,14815,14815,0,True,True,14815,1.0,14815.0,0.997505,0.445433,7.531636,0.936325,0.39805410664866986,0.457911,12,1,9.510467000000062,0.120026,34360452,0,0,0,7,1277034496,834740,test_r3_cap1280_all_delta_growth,True
shadow,all_delta,3,1280,0.54,8000,913.150366,8913.079551,14815,14815,0,True,True,14815,1.0,14815.0,0.870651,0.376645999999,6.839441,0.813675,0.32354222382720066,0.331267,11,1,10.743206999999984,0.162306,34360452,0,0,0,7,1277034496,834740,test_r3_cap1280_all_delta_shadow,True
growth,compact,3,1280,0.54,8000,836.059369,8836.036669,14815,14815,0,True,True,14815,1.0,14815.0,0.99611,0.44738,7.021111,0.936891,0.3988499586230222,0.457029,12,1,8.98087200000009,0.129916,34360452,0,0,6,7,1277034496,835660,test_r3_cap1280_compact_growth,True
shadow,compact,3,1280,0.54,8000,857.687807,8857.61728,14815,14815,0,True,True,14815,1.0,14815.0,0.883585,0.373425,6.288876,0.81594,0.3238576795815049,0.344480999999,10,1,9.922806000000037,0.140166,34360452,0,0,6,7,1277034496,835732,test_r3_cap1280_compact_shadow,True
growth,periodic6,3,1280,0.54,8000,904.104131,8904.078771,14815,14815,0,True,True,14815,1.0,14815.0,0.991531,0.446203,6.272527,0.934546,0.39717655497806453,0.452236,10,1,9.816699999999855,0.121229,34360452,0,0,1,7,1277034496,834736,test_r3_cap1280_periodic6_growth,True
shadow,periodic6,3,1280,0.54,8000,919.218806,8919.157782,14815,14815,0,True,True,14815,1.0,14815.0,0.869433,0.374893,6.94481,0.812878,0.3221570497468786,0.330347,11,1,10.550386000000344,0.131925000001,34360452,0,0,1,7,1277034496,835676,test_r3_cap1280_periodic6_shadow,True
